business_date,line_name,day_of_week,day_type,financial_year,total_boardings
2022-09-19,Alamein,Monday,School Holiday,2022-23,9900
2022-09-20,Alamein,Tuesday,School Holiday,2022-23,11970
2022-09-21,Alamein,Wednesday,School Holiday,2022-23,11580
2022-09-22,Alamein,Thursday,Public Holiday,2022-23,950
2022-09-23,Alamein,Friday,Public Holiday,2022-23,1080
2022-09-24,Alamein,Saturday,Saturday,2022-23,1490
2022-09-25,Alamein,Sunday,Sunday,2022-23,690
2022-09-26,Alamein,Monday,School Holiday,2022-23,9280
2022-09-27,Alamein,Tuesday,School Holiday,2022-23,11380
2022-09-28,Alamein,Wednesday,School Holiday,2022-23,11230
2022-09-29,Alamein,Thursday,School Holiday,2022-23,11360
2022-09-30,Alamein,Friday,School Holiday,2022-23,9110
2022-10-01,Alamein,Saturday,Saturday,2022-23,1060
2022-10-02,Alamein,Sunday,Sunday,2022-23,610
2022-10-03,Alamein,Monday,Normal Weekday,2022-23,10230
2022-10-04,Alamein,Tuesday,Normal Weekday,2022-23,13200
2022-10-05,Alamein,Wednesday,Normal Weekday,2022-23,12910
2022-10-06,Alamein,Thursday,Normal Weekday,2022-23,13460
2022-10-07,Alamein,Friday,Normal Weekday,2022-23,10450
2022-10-08,Alamein,Saturday,Saturday,2022-23,1000
2022-10-09,Alamein,Sunday,Sunday,2022-23,640
2022-10-10,Alamein,Monday,Normal Weekday,2022-23,10900
2022-10-11,Alamein,Tuesday,Normal Weekday,2022-23,13440
2022-10-12,Alamein,Wednesday,Normal Weekday,2022-23,12050
2022-10-13,Alamein,Thursday,Normal Weekday,2022-23,9260
2022-10-14,Alamein,Friday,Normal Weekday,2022-23,10170
2022-10-15,Alamein,Saturday,Saturday,2022-23,600
2022-10-16,Alamein,Sunday,Sunday,2022-23,430
2022-10-17,Alamein,Monday,Normal Weekday,2022-23,11760
2022-10-18,Alamein,Tuesday,Normal Weekday,2022-23,13350
2022-10-19,Alamein,Wednesday,Normal Weekday,2022-23,12440
2022-10-20,Alamein,Thursday,Normal Weekday,2022-23,14050
2022-10-21,Alamein,Friday,Normal Weekday,2022-23,10720
2022-10-22,Alamein,Saturday,Saturday,2022-23,780
2022-10-23,Alamein,Sunday,Sunday,2022-23,820
2022-10-24,Alamein,Monday,Normal Weekday,2022-23,10950
2022-10-25,Alamein,Tuesday,Normal Weekday,2022-23,12670
2022-10-26,Alamein,Wednesday,Normal Weekday,2022-23,12090
2022-10-27,Alamein,Thursday,Normal Weekday,2022-23,12030
2022-10-28,Alamein,Friday,Normal Weekday,2022-23,10820
2022-10-29,Alamein,Saturday,Saturday,2022-23,560
2022-10-30,Alamein,Sunday,Sunday,2022-23,660
2022-10-31,Alamein,Monday,Normal Weekday,2022-23,6080
2022-11-01,Alamein,Tuesday,Public Holiday,2022-23,450
2022-11-02,Alamein,Wednesday,Normal Weekday,2022-23,11250
2022-11-03,Alamein,Thursday,Normal Weekday,2022-23,11370
2022-11-04,Alamein,Friday,Normal Weekday,2022-23,10290
2022-11-05,Alamein,Saturday,Saturday,2022-23,870
2022-11-06,Alamein,Sunday,Sunday,2022-23,830
2022-11-07,Alamein,Monday,Normal Weekday,2022-23,10580
2022-11-08,Alamein,Tuesday,Normal Weekday,2022-23,12680
2022-11-09,Alamein,Wednesday,Normal Weekday,2022-23,12610
2022-11-10,Alamein,Thursday,Normal Weekday,2022-23,12700
2022-11-11,Alamein,Friday,Normal Weekday,2022-23,10830
2022-11-12,Alamein,Saturday,Saturday,2022-23,1150
2022-11-13,Alamein,Sunday,Sunday,2022-23,770
2022-11-14,Alamein,Monday,Normal Weekday,2022-23,9910
2022-11-15,Alamein,Tuesday,Normal Weekday,2022-23,12980
2022-11-16,Alamein,Wednesday,Normal Weekday,2022-23,12400
2022-11-17,Alamein,Thursday,Normal Weekday,2022-23,13040
2022-11-18,Alamein,Friday,Normal Weekday,2022-23,11230
2022-11-19,Alamein,Saturday,Saturday,2022-23,910
2022-11-20,Alamein,Sunday,Sunday,2022-23,650
2022-11-21,Alamein,Monday,Normal Weekday,2022-23,9950
2022-11-22,Alamein,Tuesday,Normal Weekday,2022-23,12860
2022-11-23,Alamein,Wednesday,Normal Weekday,2022-23,12810
2022-11-24,Alamein,Thursday,Normal Weekday,2022-23,12800
2022-11-25,Alamein,Friday,Normal Weekday,2022-23,10470
2022-11-26,Alamein,Saturday,Saturday,2022-23,1220
2022-11-27,Alamein,Sunday,Sunday,2022-23,680
2022-11-28,Alamein,Monday,Normal Weekday,2022-23,10650
2022-11-29,Alamein,Tuesday,Normal Weekday,2022-23,12610
2022-11-30,Alamein,Wednesday,Normal Weekday,2022-23,12170
2022-12-01,Alamein,Thursday,Normal Weekday,2022-23,12990
2022-12-02,Alamein,Friday,Normal Weekday,2022-23,10350
2022-12-03,Alamein,Saturday,Saturday,2022-23,750
2022-12-04,Alamein,Sunday,Sunday,2022-23,340
2022-12-05,Alamein,Monday,Normal Weekday,2022-23,9280
2022-12-06,Alamein,Tuesday,Normal Weekday,2022-23,12030
2022-12-07,Alamein,Wednesday,Normal Weekday,2022-23,12440
2022-12-08,Alamein,Thursday,Normal Weekday,2022-23,12140
2022-12-09,Alamein,Friday,Normal Weekday,2022-23,10770
2022-12-10,Alamein,Saturday,Saturday,2022-23,1320
2022-12-11,Alamein,Sunday,Sunday,2022-23,750
2022-12-12,Alamein,Monday,Normal Weekday,2022-23,9480
2022-12-13,Alamein,Tuesday,Normal Weekday,2022-23,10970
2022-12-14,Alamein,Wednesday,Normal Weekday,2022-23,11310
2022-12-15,Alamein,Thursday,Normal Weekday,2022-23,12230
2022-12-16,Alamein,Friday,Normal Weekday,2022-23,11010
2022-12-17,Alamein,Saturday,Saturday,2022-23,1210
2022-12-18,Alamein,Sunday,Sunday,2022-23,830
2022-12-19,Alamein,Monday,Normal Weekday,2022-23,8520
2022-12-20,Alamein,Tuesday,Normal Weekday,2022-23,11040
2022-12-21,Alamein,Wednesday,School Holiday,2022-23,9420
2022-12-22,Alamein,Thursday,School Holiday,2022-23,6720
2022-12-23,Alamein,Friday,School Holiday,2022-23,6320
2022-12-24,Alamein,Saturday,Saturday,2022-23,700
2022-12-25,Alamein,Sunday,Public Holiday,2022-23,80
2022-12-26,Alamein,Monday,Public Holiday,2022-23,1030
2022-12-27,Alamein,Tuesday,Public Holiday,2022-23,870
2022-12-28,Alamein,Wednesday,School Holiday,2022-23,3400
2022-12-29,Alamein,Thursday,School Holiday,2022-23,3980
2022-12-30,Alamein,Friday,School Holiday,2022-23,3420
2022-12-31,Alamein,Saturday,Saturday,2022-23,570
2023-01-01,Alamein,Sunday,Public Holiday,2022-23,240
2023-01-02,Alamein,Monday,Public Holiday,2022-23,190
2023-01-16,Alamein,Monday,School Holiday,2022-23,9430
2023-01-17,Alamein,Tuesday,School Holiday,2022-23,10680
2023-01-18,Alamein,Wednesday,School Holiday,2022-23,11040
2023-01-19,Alamein,Thursday,School Holiday,2022-23,12670
2023-01-20,Alamein,Friday,School Holiday,2022-23,10100
2023-01-21,Alamein,Saturday,Saturday,2022-23,1150
2023-01-22,Alamein,Sunday,Sunday,2022-23,1010
2023-01-23,Alamein,Monday,School Holiday,2022-23,9880
2023-01-24,Alamein,Tuesday,School Holiday,2022-23,12500
2023-01-25,Alamein,Wednesday,School Holiday,2022-23,12700
2023-01-26,Alamein,Thursday,Public Holiday,2022-23,1040
2023-01-27,Alamein,Friday,School Holiday,2022-23,7750
2023-01-28,Alamein,Saturday,Saturday,2022-23,730
2023-01-29,Alamein,Sunday,Sunday,2022-23,620
2023-01-30,Alamein,Monday,Normal Weekday,2022-23,9580
2023-01-31,Alamein,Tuesday,Normal Weekday,2022-23,12650
2023-02-01,Alamein,Wednesday,Normal Weekday,2022-23,12770
2023-02-02,Alamein,Thursday,Normal Weekday,2022-23,10740
2023-02-03,Alamein,Friday,Normal Weekday,2022-23,10200
2023-02-04,Alamein,Saturday,Saturday,2022-23,770
2023-02-05,Alamein,Sunday,Sunday,2022-23,670
2023-02-06,Alamein,Monday,Normal Weekday,2022-23,10820
2023-02-07,Alamein,Tuesday,Normal Weekday,2022-23,12650
2023-02-08,Alamein,Wednesday,Normal Weekday,2022-23,12230
2023-02-09,Alamein,Thursday,Normal Weekday,2022-23,13300
2023-02-10,Alamein,Friday,Normal Weekday,2022-23,10840
2023-02-11,Alamein,Saturday,Saturday,2022-23,1000
2023-02-12,Alamein,Sunday,Sunday,2022-23,700
2023-02-13,Alamein,Monday,Normal Weekday,2022-23,11080
2023-02-14,Alamein,Tuesday,Normal Weekday,2022-23,13910
2023-02-15,Alamein,Wednesday,Normal Weekday,2022-23,12910
2023-02-16,Alamein,Thursday,Normal Weekday,2022-23,13440
2023-02-17,Alamein,Friday,Normal Weekday,2022-23,10470
2023-02-18,Alamein,Saturday,Saturday,2022-23,960
2023-02-19,Alamein,Sunday,Sunday,2022-23,550
2023-02-20,Alamein,Monday,Normal Weekday,2022-23,14110
2023-02-21,Alamein,Tuesday,Normal Weekday,2022-23,16840
2023-02-22,Alamein,Wednesday,Normal Weekday,2022-23,15460
2023-02-23,Alamein,Thursday,Normal Weekday,2022-23,17080
2023-02-24,Alamein,Friday,Normal Weekday,2022-23,13460
2023-02-25,Alamein,Saturday,Saturday,2022-23,1000
2023-02-26,Alamein,Sunday,Sunday,2022-23,1050
2023-02-27,Alamein,Monday,Normal Weekday,2022-23,15140
2023-02-28,Alamein,Tuesday,Normal Weekday,2022-23,19380
2023-03-01,Alamein,Wednesday,Normal Weekday,2022-23,17350
2023-03-02,Alamein,Thursday,Normal Weekday,2022-23,19500
2023-03-03,Alamein,Friday,Normal Weekday,2022-23,16590
2023-03-04,Alamein,Saturday,Saturday,2022-23,930
2023-03-05,Alamein,Sunday,Sunday,2022-23,1040
2023-03-06,Alamein,Monday,Normal Weekday,2022-23,15580
2023-03-07,Alamein,Tuesday,Normal Weekday,2022-23,18970
2023-03-08,Alamein,Wednesday,Normal Weekday,2022-23,18840
2023-03-09,Alamein,Thursday,Normal Weekday,2022-23,17770
2023-03-10,Alamein,Friday,Normal Weekday,2022-23,14660
2023-03-11,Alamein,Saturday,Saturday,2022-23,1350
2023-03-12,Alamein,Sunday,Sunday,2022-23,1340
2023-03-13,Alamein,Monday,Public Holiday,2022-23,1320
2023-03-14,Alamein,Tuesday,Normal Weekday,2022-23,17830
2023-03-15,Alamein,Wednesday,Normal Weekday,2022-23,17890
2023-03-16,Alamein,Thursday,Normal Weekday,2022-23,20640
2023-03-17,Alamein,Friday,Normal Weekday,2022-23,16670
2023-03-18,Alamein,Saturday,Saturday,2022-23,1090
2023-03-19,Alamein,Sunday,Sunday,2022-23,1880
2023-03-20,Alamein,Monday,Normal Weekday,2022-23,14340
2023-03-21,Alamein,Tuesday,Normal Weekday,2022-23,18490
2023-03-22,Alamein,Wednesday,Normal Weekday,2022-23,17400
2023-03-23,Alamein,Thursday,Normal Weekday,2022-23,17880
2023-03-24,Alamein,Friday,Normal Weekday,2022-23,13930
2023-03-25,Alamein,Saturday,Saturday,2022-23,1510
2023-03-26,Alamein,Sunday,Sunday,2022-23,850
2023-03-27,Alamein,Monday,Normal Weekday,2022-23,14960
2023-03-28,Alamein,Tuesday,Normal Weekday,2022-23,18140
2023-03-29,Alamein,Wednesday,Normal Weekday,2022-23,18090
2023-03-30,Alamein,Thursday,Normal Weekday,2022-23,18660
2023-03-31,Alamein,Friday,Normal Weekday,2022-23,17320
2023-04-01,Alamein,Saturday,Saturday,2022-23,1970
2023-04-02,Alamein,Sunday,Sunday,2022-23,1280
2023-04-03,Alamein,Monday,Normal Weekday,2022-23,14490
2023-04-04,Alamein,Tuesday,Normal Weekday,2022-23,18370
2023-04-05,Alamein,Wednesday,Normal Weekday,2022-23,17320
2023-04-06,Alamein,Thursday,Normal Weekday,2022-23,15510
2023-04-07,Alamein,Friday,Public Holiday,2022-23,430
2023-04-08,Alamein,Saturday,Public Holiday,2022-23,1280
2023-04-09,Alamein,Sunday,Public Holiday,2022-23,460
2023-04-10,Alamein,Monday,Public Holiday,2022-23,1410
2023-04-11,Alamein,Tuesday,School Holiday,2022-23,11850
2023-04-12,Alamein,Wednesday,School Holiday,2022-23,12620
2023-04-13,Alamein,Thursday,School Holiday,2022-23,13660
2023-04-14,Alamein,Friday,School Holiday,2022-23,11010
2023-04-15,Alamein,Saturday,Saturday,2022-23,1010
2023-04-16,Alamein,Sunday,Sunday,2022-23,560
2023-04-17,Alamein,Monday,School Holiday,2022-23,12660
2023-04-18,Alamein,Tuesday,School Holiday,2022-23,16570
2023-04-19,Alamein,Wednesday,School Holiday,2022-23,15620
2023-04-20,Alamein,Thursday,School Holiday,2022-23,16290
2023-04-21,Alamein,Friday,School Holiday,2022-23,11930
2023-04-22,Alamein,Saturday,Saturday,2022-23,890
2023-04-23,Alamein,Sunday,Sunday,2022-23,760
2023-04-24,Alamein,Monday,Normal Weekday,2022-23,12920
2023-04-25,Alamein,Tuesday,Public Holiday,2022-23,1480
2023-04-26,Alamein,Wednesday,Normal Weekday,2022-23,15890
2023-04-27,Alamein,Thursday,Normal Weekday,2022-23,17270
2023-04-28,Alamein,Friday,Normal Weekday,2022-23,14020
2023-05-01,Alamein,Monday,Normal Weekday,2022-23,14480
2023-05-02,Alamein,Tuesday,Normal Weekday,2022-23,17520
2023-05-03,Alamein,Wednesday,Normal Weekday,2022-23,15140
2023-05-04,Alamein,Thursday,Normal Weekday,2022-23,17600
2023-05-05,Alamein,Friday,Normal Weekday,2022-23,14410
2023-05-06,Alamein,Saturday,Saturday,2022-23,1040
2023-05-07,Alamein,Sunday,Sunday,2022-23,910
2023-05-08,Alamein,Monday,Normal Weekday,2022-23,13390
2023-05-09,Alamein,Tuesday,Normal Weekday,2022-23,16280
2023-05-10,Alamein,Wednesday,Normal Weekday,2022-23,16150
2023-05-11,Alamein,Thursday,Normal Weekday,2022-23,16720
2023-05-12,Alamein,Friday,Normal Weekday,2022-23,14720
2023-05-13,Alamein,Saturday,Saturday,2022-23,1370
2023-05-14,Alamein,Sunday,Sunday,2022-23,940
2023-05-15,Alamein,Monday,Normal Weekday,2022-23,13610
2023-05-16,Alamein,Tuesday,Normal Weekday,2022-23,16630
2023-05-17,Alamein,Wednesday,Normal Weekday,2022-23,15570
2023-05-18,Alamein,Thursday,Normal Weekday,2022-23,16290
2023-05-19,Alamein,Friday,Normal Weekday,2022-23,14420
2023-05-20,Alamein,Saturday,Saturday,2022-23,1310
2023-05-21,Alamein,Sunday,Sunday,2022-23,1120
2023-05-22,Alamein,Monday,Normal Weekday,2022-23,11620
2023-05-23,Alamein,Tuesday,Normal Weekday,2022-23,15210
2023-05-24,Alamein,Wednesday,Normal Weekday,2022-23,14640
2023-05-25,Alamein,Thursday,Normal Weekday,2022-23,16020
2023-05-26,Alamein,Friday,Normal Weekday,2022-23,12150
2023-05-27,Alamein,Saturday,Saturday,2022-23,1180
2023-05-28,Alamein,Sunday,Sunday,2022-23,680
2023-05-29,Alamein,Monday,Normal Weekday,2022-23,12400
2023-05-30,Alamein,Tuesday,Normal Weekday,2022-23,14210
2023-05-31,Alamein,Wednesday,Normal Weekday,2022-23,12670
2023-06-01,Alamein,Thursday,Normal Weekday,2022-23,13920
2023-06-02,Alamein,Friday,Normal Weekday,2022-23,11710
2023-06-03,Alamein,Saturday,Saturday,2022-23,850
2023-06-04,Alamein,Sunday,Sunday,2022-23,620
2023-06-05,Alamein,Monday,Normal Weekday,2022-23,11460
2023-06-06,Alamein,Tuesday,Normal Weekday,2022-23,13610
2023-06-07,Alamein,Wednesday,Normal Weekday,2022-23,13630
2023-06-08,Alamein,Thursday,Normal Weekday,2022-23,14130
2023-06-09,Alamein,Friday,Normal Weekday,2022-23,10970
2023-06-10,Alamein,Saturday,Saturday,2022-23,1330
2023-06-11,Alamein,Sunday,Sunday,2022-23,1280
2023-06-12,Alamein,Monday,Public Holiday,2022-23,1140
2023-06-13,Alamein,Tuesday,Normal Weekday,2022-23,13010
2023-06-14,Alamein,Wednesday,Normal Weekday,2022-23,13220
2023-06-15,Alamein,Thursday,Normal Weekday,2022-23,13810
2023-06-16,Alamein,Friday,Normal Weekday,2022-23,11310
2023-06-17,Alamein,Saturday,Saturday,2022-23,1360
2023-06-18,Alamein,Sunday,Sunday,2022-23,900
2023-06-19,Alamein,Monday,Normal Weekday,2022-23,10970
2023-06-20,Alamein,Tuesday,Normal Weekday,2022-23,14020
2023-06-21,Alamein,Wednesday,Normal Weekday,2022-23,13370
2023-06-22,Alamein,Thursday,Normal Weekday,2022-23,13430
2023-06-23,Alamein,Friday,Normal Weekday,2022-23,10880
2023-06-24,Alamein,Saturday,Saturday,2022-23,1010
2023-06-25,Alamein,Sunday,Sunday,2022-23,830
2023-06-26,Alamein,Monday,School Holiday,2022-23,9870
2023-06-27,Alamein,Tuesday,School Holiday,2022-23,11870
2023-06-28,Alamein,Wednesday,School Holiday,2022-23,11220
2023-06-29,Alamein,Thursday,School Holiday,2022-23,12700
2023-06-30,Alamein,Friday,School Holiday,2022-23,10520
2023-07-01,Alamein,Saturday,Saturday,2023-24,1030
2023-07-02,Alamein,Sunday,Sunday,2023-24,1280
2023-07-03,Alamein,Monday,School Holiday,2023-24,9800
2023-07-04,Alamein,Tuesday,School Holiday,2023-24,11960
2023-07-05,Alamein,Wednesday,School Holiday,2023-24,11880
2023-07-06,Alamein,Thursday,School Holiday,2023-24,12370
2023-07-07,Alamein,Friday,School Holiday,2023-24,10150
2023-07-08,Alamein,Saturday,Saturday,2023-24,1100
2023-07-09,Alamein,Sunday,Sunday,2023-24,780
2023-07-10,Alamein,Monday,Normal Weekday,2023-24,10580
2023-07-11,Alamein,Tuesday,Normal Weekday,2023-24,14230
2023-07-12,Alamein,Wednesday,Normal Weekday,2023-24,13030
2023-07-13,Alamein,Thursday,Normal Weekday,2023-24,13340
2023-07-14,Alamein,Friday,Normal Weekday,2023-24,11770
2023-07-15,Alamein,Saturday,Saturday,2023-24,1300
2023-07-16,Alamein,Sunday,Sunday,2023-24,830
2023-07-17,Alamein,Monday,Normal Weekday,2023-24,11870
2023-07-18,Alamein,Tuesday,Normal Weekday,2023-24,14080
2023-07-19,Alamein,Wednesday,Normal Weekday,2023-24,13950
2023-07-20,Alamein,Thursday,Normal Weekday,2023-24,14080
2023-07-21,Alamein,Friday,Normal Weekday,2023-24,12130
2023-07-22,Alamein,Saturday,Saturday,2023-24,1730
2023-07-23,Alamein,Sunday,Sunday,2023-24,860
2023-07-24,Alamein,Monday,Normal Weekday,2023-24,12420
2023-07-25,Alamein,Tuesday,Normal Weekday,2023-24,14630
2023-07-26,Alamein,Wednesday,Normal Weekday,2023-24,13790
2023-07-27,Alamein,Thursday,Normal Weekday,2023-24,13500
2023-07-28,Alamein,Friday,Normal Weekday,2023-24,13150
2023-07-29,Alamein,Saturday,Saturday,2023-24,1650
2023-07-30,Alamein,Sunday,Sunday,2023-24,1190
2023-07-31,Alamein,Monday,Normal Weekday,2023-24,13880
2023-08-01,Alamein,Tuesday,Normal Weekday,2023-24,16230
2023-08-02,Alamein,Wednesday,Normal Weekday,2023-24,16480
2023-08-03,Alamein,Thursday,Normal Weekday,2023-24,15570
2023-08-04,Alamein,Friday,Normal Weekday,2023-24,12860
2023-08-05,Alamein,Saturday,Saturday,2023-24,1400
2023-08-06,Alamein,Sunday,Sunday,2023-24,700
2023-08-07,Alamein,Monday,Normal Weekday,2023-24,12770
2023-08-08,Alamein,Tuesday,Normal Weekday,2023-24,14830
2023-08-09,Alamein,Wednesday,Normal Weekday,2023-24,15370
2023-08-10,Alamein,Thursday,Normal Weekday,2023-24,16030
2023-08-11,Alamein,Friday,Normal Weekday,2023-24,13630
2023-08-12,Alamein,Saturday,Saturday,2023-24,1560
2023-08-13,Alamein,Sunday,Sunday,2023-24,820
2023-08-14,Alamein,Monday,Normal Weekday,2023-24,12950
2023-08-15,Alamein,Tuesday,Normal Weekday,2023-24,16420
2023-08-16,Alamein,Wednesday,Normal Weekday,2023-24,16740
2023-08-17,Alamein,Thursday,Normal Weekday,2023-24,15580
2023-08-18,Alamein,Friday,Normal Weekday,2023-24,13610
2023-08-19,Alamein,Saturday,Saturday,2023-24,1320
2023-08-20,Alamein,Sunday,Sunday,2023-24,1410
2023-08-21,Alamein,Monday,Normal Weekday,2023-24,13120
2023-08-22,Alamein,Tuesday,Normal Weekday,2023-24,15830
2023-08-23,Alamein,Wednesday,Normal Weekday,2023-24,15960
2023-08-24,Alamein,Thursday,Normal Weekday,2023-24,15750
2023-08-25,Alamein,Friday,Normal Weekday,2023-24,13460
2023-08-26,Alamein,Saturday,Saturday,2023-24,1440
2023-08-27,Alamein,Sunday,Sunday,2023-24,800
2023-08-28,Alamein,Monday,Normal Weekday,2023-24,13050
2023-08-29,Alamein,Tuesday,Normal Weekday,2023-24,16370
2023-08-30,Alamein,Wednesday,Normal Weekday,2023-24,14520
2023-08-31,Alamein,Thursday,Normal Weekday,2023-24,15390
2023-09-01,Alamein,Friday,Normal Weekday,2023-24,12000
2023-09-02,Alamein,Saturday,Saturday,2023-24,1180
2023-09-03,Alamein,Sunday,Sunday,2023-24,600
2023-09-04,Alamein,Monday,Normal Weekday,2023-24,12490
2023-09-05,Alamein,Tuesday,Normal Weekday,2023-24,15670
2023-09-06,Alamein,Wednesday,Normal Weekday,2023-24,14090
2023-09-07,Alamein,Thursday,Normal Weekday,2023-24,16400
2023-09-08,Alamein,Friday,Normal Weekday,2023-24,10960
2023-09-09,Alamein,Saturday,Saturday,2023-24,1380
2023-09-10,Alamein,Sunday,Sunday,2023-24,780
2023-09-11,Alamein,Monday,Normal Weekday,2023-24,11570
2023-09-12,Alamein,Tuesday,Normal Weekday,2023-24,13370
2023-09-13,Alamein,Wednesday,Normal Weekday,2023-24,13140
2023-09-14,Alamein,Thursday,Normal Weekday,2023-24,14200
2023-09-15,Alamein,Friday,Normal Weekday,2023-24,12890
2023-09-16,Alamein,Saturday,Saturday,2023-24,1060
2023-09-17,Alamein,Sunday,Sunday,2023-24,700
2023-09-18,Alamein,Monday,School Holiday,2023-24,11150
2023-09-19,Alamein,Tuesday,School Holiday,2023-24,13470
2023-09-20,Alamein,Wednesday,School Holiday,2023-24,13070
2023-09-21,Alamein,Thursday,School Holiday,2023-24,13350
2023-09-22,Alamein,Friday,School Holiday,2023-24,12890
2023-09-23,Alamein,Saturday,Saturday,2023-24,1120
2023-09-24,Alamein,Sunday,Sunday,2023-24,350
2023-09-26,Alamein,Tuesday,School Holiday,2023-24,13840
2023-09-27,Alamein,Wednesday,School Holiday,2023-24,13290
2023-09-28,Alamein,Thursday,School Holiday,2023-24,13400
2023-09-29,Alamein,Friday,Public Holiday,2023-24,1080
2023-09-30,Alamein,Saturday,Saturday,2023-24,1580
2023-10-01,Alamein,Sunday,Sunday,2023-24,520
2023-10-02,Alamein,Monday,Normal Weekday,2023-24,12290
2023-10-03,Alamein,Tuesday,Normal Weekday,2023-24,15020
2023-10-04,Alamein,Wednesday,Normal Weekday,2023-24,15290
2023-10-05,Alamein,Thursday,Normal Weekday,2023-24,15510
2023-10-06,Alamein,Friday,Normal Weekday,2023-24,12700
2023-10-07,Alamein,Saturday,Saturday,2023-24,890
2023-10-08,Alamein,Sunday,Sunday,2023-24,670
2023-10-09,Alamein,Monday,Normal Weekday,2023-24,12610
2023-10-10,Alamein,Tuesday,Normal Weekday,2023-24,15490
2023-10-11,Alamein,Wednesday,Normal Weekday,2023-24,15150
2023-10-12,Alamein,Thursday,Normal Weekday,2023-24,14740
2023-10-13,Alamein,Friday,Normal Weekday,2023-24,12600
2023-10-14,Alamein,Saturday,Saturday,2023-24,590
2023-10-15,Alamein,Sunday,Sunday,2023-24,650
2023-10-16,Alamein,Monday,Normal Weekday,2023-24,12290
2023-10-17,Alamein,Tuesday,Normal Weekday,2023-24,15180
2023-10-18,Alamein,Wednesday,Normal Weekday,2023-24,15640
2023-10-19,Alamein,Thursday,Normal Weekday,2023-24,16610
2023-10-20,Alamein,Friday,Normal Weekday,2023-24,12230
2023-10-21,Alamein,Saturday,Saturday,2023-24,1000
2023-10-22,Alamein,Sunday,Sunday,2023-24,450
2023-10-23,Alamein,Monday,Normal Weekday,2023-24,12210
2023-10-24,Alamein,Tuesday,Normal Weekday,2023-24,15400
2023-10-25,Alamein,Wednesday,Normal Weekday,2023-24,14720
2023-10-26,Alamein,Thursday,Normal Weekday,2023-24,14730
2023-10-27,Alamein,Friday,Normal Weekday,2023-24,12120
2023-10-28,Alamein,Saturday,Saturday,2023-24,860
2023-10-29,Alamein,Sunday,Sunday,2023-24,560
2023-10-30,Alamein,Monday,Normal Weekday,2023-24,12360
2023-10-31,Alamein,Tuesday,Normal Weekday,2023-24,14370
2023-11-01,Alamein,Wednesday,Normal Weekday,2023-24,14260
2023-11-02,Alamein,Thursday,Normal Weekday,2023-24,15070
2023-11-03,Alamein,Friday,Normal Weekday,2023-24,11540
2023-11-04,Alamein,Saturday,Saturday,2023-24,810
2023-11-05,Alamein,Sunday,Sunday,2023-24,580
2023-11-06,Alamein,Monday,Normal Weekday,2023-24,7950
2023-11-07,Alamein,Tuesday,Public Holiday,2023-24,460
2023-11-08,Alamein,Wednesday,Normal Weekday,2023-24,11860
2023-11-09,Alamein,Thursday,Normal Weekday,2023-24,14490
2023-11-10,Alamein,Friday,Normal Weekday,2023-24,12020
2023-11-11,Alamein,Saturday,Saturday,2023-24,850
2023-11-12,Alamein,Sunday,Sunday,2023-24,860
2023-11-13,Alamein,Monday,Normal Weekday,2023-24,11990
2023-11-14,Alamein,Tuesday,Normal Weekday,2023-24,15150
2023-11-15,Alamein,Wednesday,Normal Weekday,2023-24,14860
2023-11-16,Alamein,Thursday,Normal Weekday,2023-24,14690
2023-11-17,Alamein,Friday,Normal Weekday,2023-24,11700
2023-11-18,Alamein,Saturday,Saturday,2023-24,770
2023-11-19,Alamein,Sunday,Sunday,2023-24,590
2023-11-20,Alamein,Monday,Normal Weekday,2023-24,12170
2023-11-21,Alamein,Tuesday,Normal Weekday,2023-24,14930
2023-11-22,Alamein,Wednesday,Normal Weekday,2023-24,14870
2023-11-23,Alamein,Thursday,Normal Weekday,2023-24,15840
2023-11-24,Alamein,Friday,Normal Weekday,2023-24,13320
2023-11-25,Alamein,Saturday,Saturday,2023-24,1070
2023-11-26,Alamein,Sunday,Sunday,2023-24,740
2023-11-27,Alamein,Monday,Normal Weekday,2023-24,12690
2023-11-28,Alamein,Tuesday,Normal Weekday,2023-24,15070
2023-11-29,Alamein,Wednesday,Normal Weekday,2023-24,14670
2023-11-30,Alamein,Thursday,Normal Weekday,2023-24,14280
2023-12-01,Alamein,Friday,Normal Weekday,2023-24,12350
2023-12-02,Alamein,Saturday,Saturday,2023-24,930
2023-12-03,Alamein,Sunday,Sunday,2023-24,970
2023-12-04,Alamein,Monday,Normal Weekday,2023-24,13060
2023-12-05,Alamein,Tuesday,Normal Weekday,2023-24,15240
2023-12-06,Alamein,Wednesday,Normal Weekday,2023-24,15970
2023-12-07,Alamein,Thursday,Normal Weekday,2023-24,15210
2023-12-08,Alamein,Friday,Normal Weekday,2023-24,12740
2023-12-09,Alamein,Saturday,Saturday,2023-24,790
2023-12-10,Alamein,Sunday,Sunday,2023-24,900
2023-12-11,Alamein,Monday,Normal Weekday,2023-24,11230
2023-12-12,Alamein,Tuesday,Normal Weekday,2023-24,13690
2023-12-13,Alamein,Wednesday,Normal Weekday,2023-24,13790
2023-12-14,Alamein,Thursday,Normal Weekday,2023-24,13700
2023-12-15,Alamein,Friday,Normal Weekday,2023-24,11450
2023-12-16,Alamein,Saturday,Saturday,2023-24,1110
2023-12-17,Alamein,Sunday,Sunday,2023-24,730
2023-12-18,Alamein,Monday,Normal Weekday,2023-24,10240
