rank,mark,athlete,country,date_of_birth,race_position,venue,result_date,mark_seconds,result_year,decade,age_at_race
2081,4:02.91,Gabriela Szabo,ROU,1975-11-14,1,Hengelo,1998-06-01,242.91,1998,1990,22.546201232032853
2081,4:02.91,Maria Cioncan,ROU,1977-06-19,1,Bucuresti,2003-06-07,242.91,2003,2000,25.965776865160848
2081,4:02.91,Laura Muir,GBR,1993-05-09,2,Hengelo,2014-06-08,242.91,2014,2010,21.08145106091718
2081,4:02.91,Sarah Healy,IRL,2001-02-13,7h2,Saint-Denis,2024-08-06,242.91,2024,2020,23.477070499657767
2081,4:02.91,Simone Plourde,CAN,2000-08-08,3rA,Eagle Rock,2025-07-12,242.91,2025,2020,24.92539356605065
2087,4:02.92,Laimute Baikauskaite,LTU,1956-06-10,5,Kyiv,1986-07-17,242.92,1986,1980,30.099931553730322
2087,4:02.92,Kutre Dulecha,ETH,1978-08-22,1,Roma,2000-06-30,242.92,2000,2000,21.856262833675565
2087,4:02.92,Lisa Dobriskey,GBR,1983-12-23,4,Zürich,2010-08-19,242.92,2010,2010,26.65571526351814
2087,4:02.92,Sifan Hassan,NED,1993-01-01,1h1,Budapest,2023-08-19,242.92,2023,2020,30.628336755646817
2087,4:02.92,Addison Wiley,USA,2003-10-24,5s2,Eugene,2024-06-28,242.92,2024,2020,20.67898699520876
2087,4:02.92,Erin Wallace,GBR,2000-05-18,1,Nice,2025-05-31,242.92,2025,2020,25.034907597535934
2093,4:02.93,Olga Yegorova,RUS,1972-03-28,1,Villeneuve d'Ascq,2004-06-26,242.93,2004,2000,32.24640657084189
2093,4:02.93,Sofia Ennaoui,POL,1995-08-30,2rA,Madrid,2018-06-22,242.93,2018,2010,22.811772758384667
2093,4:02.93,Katie Snowden,GBR,1994-03-09,9s1,Tokyo,2021-08-04,242.93,2021,2020,27.405886379192335
2093,4:02.93,Sarah Billings,AUS,1998-03-07,7,Rabat,2025-05-25,242.93,2025,2020,27.21697467488022
2097,4:02.94,Natalya Gorelova,RUS,1973-04-18,3,Rieti,2002-09-08,242.94,2002,2000,29.39082819986311
2097,4:02.94,Olga Yegorova,RUS,1972-03-28,3,Bruxelles,2004-09-03,242.94,2004,2000,32.435318275154
2097,4:02.94,Sarah Jamieson,AUS,1975-03-24,3,Saint-Denis,2008-07-18,242.94,2008,2000,33.319644079397676
2097,4:02.94,Rababe Arafi,MAR,1991-01-12,7,Roma,2015-06-04,242.94,2015,2010,24.39151266255989
2097,4:02.94,Winny Chebet,KEN,1990-12-20,7,Shanghai,2019-05-18,242.94,2019,2010,28.407939767282684
2097,4:02.94,Dominique Hiltz,USA,1994-10-23,3,Trabuco Hills,2021-07-18,242.94,2021,2020,26.73511293634497
2103,4:02.95,Zamira Zaytseva,UZB,1953-02-16,h,Kyiv,1984-06-22,242.95,1984,1980,31.345653661875428
2103,4:02.95,Jackline Maranga,KEN,1977-12-16,9,Zürich,1998-08-12,242.95,1998,1990,20.654346338124572
2103,4:02.95,Shannon Rowbury,USA,1984-09-19,6,Stockholm,2010-08-06,242.95,2010,2010,25.87816563997262
2103,4:02.95,Rababe Arafi,MAR,1991-01-12,3,Birmingham,2017-08-20,242.95,2017,2010,26.60369609856263
2103,4:02.95,Gudaf Tsegay,ETH,1997-06-23,1rA,Ostrava,2019-06-20,242.95,2019,2010,21.99041752224504
2103,4:02.95,Linden Hall,AUS,1991-06-20,2,Lausanne,2021-08-26,242.95,2021,2020,30.184804928131417
2109,4:02.96,Lyudmila Veselkova,RUS,1950-10-25,1r1,Moskva,1981-09-19,242.96,1981,1980,30.902121834360027
2109,4:02.96,Nadezhda Ralldugina,RUS,1957-11-15,3,Sochi,1984-06-10,242.96,1984,1980,26.56810403832991
2109,4:02.96,Natalya Boborova,RUS,1959-02-12,h,Kyiv,1984-06-22,242.96,1984,1980,25.357973990417523
2109,4:02.96,Nouria Mérah-Benida,ALG,1970-10-19,2,Roma,2000-06-30,242.96,2000,2000,29.697467488021903
2109,4:02.96,Nancy Jebet Langat,KEN,1981-08-22,2,Shanghai,2009-09-20,242.96,2009,2000,28.079397672826833
2109,4:02.96,Sheila Reid,CAN,1989-08-02,6,Eugene,2013-06-01,242.96,2013,2010,23.83025325119781
2109,4:02.96,Shannon Rowbury,USA,1984-09-19,4rA,Stockholm,2014-08-21,242.96,2014,2010,29.919233401779604
2109,4:02.96,Georgia Griffith,AUS,1996-12-05,8,Bruxelles,2022-09-02,242.96,2022,2020,25.741273100616016
2109,4:02.96,Marta Pérez,ESP,1993-04-19,7s1,Budapest,2023-08-20,242.96,2023,2020,30.33538672142368
2109,4:02.96,Claudia Hollingsworth,AUS,2005-04-12,1rA,Melbourne,2024-04-04,242.96,2024,2020,18.978781656399725
2109,4:02.96,Cory Ann McGee,USA,1992-05-29,12,Westwood,2024-05-18,242.96,2024,2020,31.969883641341546
2120,4:02.97,Daniela Yordanova,BUL,1976-03-08,4,Athínai,2006-09-17,242.97,2006,2000,30.527036276522928
2120,4:02.97,Laura Muir,GBR,1993-05-09,4,London,2017-08-07,242.97,2017,2010,24.246406570841888
2120,4:02.97,Lemlem Hailu,ETH,2001-05-25,11,Rabat,2019-06-16,242.97,2019,2010,18.05886379192334
2120,4:02.97,Diane van Es,NED,1999-03-22,3,Cork,2025-07-11,242.97,2025,2020,26.305270362765228
2124,4:02.98,Ileana Silai,ROU,1941-10-14,8,Moskva,1980-08-01,242.98,1980,1980,38.79808350444901
2124,4:02.98,Kalkidan Gezahegne,ETH,1991-05-08,3,Athínai,2009-07-13,242.98,2009,2000,18.182067077344286
2124,4:02.98,Katie Snowden,GBR,1994-03-09,1r1,Irvine,2021-05-15,242.98,2021,2020,27.184120465434635
2124,4:02.98,Laura Muir,GBR,1993-05-09,9,Stockholm,2024-06-02,242.98,2024,2020,31.066392881587955
2128,4:02.99,Laura Weightman,GBR,1991-01-07,4s2,London,2012-08-08,242.99,2012,2010,21.585215605749486
2128,4:02.99,Lucia Hrivnák Klocová,SVK,1983-11-20,5s2,London,2012-08-08,242.99,2012,2010,28.71731690622861
2128,4:02.99,Jennifer Simpson,USA,1986-08-23,2,Moskva,2013-08-15,242.99,2013,2010,26.978781656399725
2128,4:02.99,Kate Grace,USA,1988-10-24,8,Palo Alto,2019-06-30,242.99,2019,2010,30.680355920602327
2128,4:02.99+,Axumawit Embaye,ETH,1994-10-18,2,Bruxelles,2021-09-03,242.99,2021,2020,26.87748117727584
2128,4:02.99+,Gaia Sabbatini,ITA,1999-06-10,13,London,2025-07-19,242.99,2025,2020,26.10814510609172
2134,4:03.0,Giana Romanova,RUS,1955-03-10,1,Vilnius,1978-07-22,243.0,1978,1970,23.367556468172484
2134,4:03.0,Lyudmila Medvedyeva,RUS,1957-01-18,1,Moskva,1985-08-24,243.0,1985,1980,28.5968514715948
2134,4:03.0,Lyubov Kremlyova,RUS,1961-12-21,1,Kyiv,1988-06-24,243.0,1988,1980,26.507871321013006
2134,4:03.00,Natalya Artyomova,RUS,1963-01-05,1,Nice,1991-07-15,243.0,1991,1990,28.522929500342233
2134,4:03.00,Anna Mishchenko,UKR,1983-08-25,1,Ad-Dawhah,2011-05-06,243.0,2011,2010,27.696098562628336
2134,4:03.00,Axumawit Embaye,ETH,1994-10-18,5,Eugene,2015-05-30,243.0,2015,2010,20.61327857631759
2134,4:03.00,Gudaf Tsegay,ETH,1997-06-23,4,Birmingham,2017-08-20,243.0,2017,2010,20.15879534565366
2134,4:03.00A,Brenda Chebet,KEN,2004-03-06,2,Nairobii,2023-07-08,243.0,2023,2020,19.33744010951403
2134,4:03.00,Sarah Healy,IRL,2001-02-13,3h2,Budapest,2023-08-19,243.0,2023,2020,22.510609171800137
2134,4:03.00,Marta Zenoni,ITA,1999-03-09,7,Bydgoszcz,2024-06-20,243.0,2024,2020,25.284052019164957
2134,4:03.00,Salomé Afonso,POR,1997-11-19,8,Roma,2026-06-04,243.0,2026,2020,28.539356605065024
2145,4:03.01,Margarita Marusova,RUS,1967-11-25,3,Nice,1996-07-10,243.01,1996,1990,28.62422997946612
2145,4:03.01,Suzy Favor Hamilton,USA,1968-08-08,5,Bruxelles,2002-08-30,243.01,2002,2000,34.05886379192334
2145,4:03.01,Natalia Rodríguez,ESP,1979-06-02,10,Athínai,2004-08-28,243.01,2004,2000,25.240246406570844
2145,4:03.01,Maryam Yusuf Jamal,BRN,1984-09-16,5,Monaco,2006-08-20,243.01,2006,2000,21.924709103353866
2145,4:03.01,Christin Wurth-Thomas,USA,1980-07-11,1,Stockholm,2009-07-31,243.01,2009,2000,29.05407255304586
2145,4:03.01,Luiza Gega,ALB,1988-11-05,8,Roma,2015-06-04,243.01,2015,2010,26.576317590691307
2145,4:03.01A,Hirut Meshesha,ETH,2001-01-20,2,Nairobi,2021-09-18,243.01,2021,2020,20.659822039698838
2145,4:03.01,Hirut Meshesha,ETH,2001-01-20,3,Stockholm,2023-07-02,243.01,2023,2020,22.444900752908968
2153,4:03.02,Theresia Kiesl,AUT,1963-10-26,3,Atlanta,1996-08-03,243.02,1996,1990,32.772073921971256
2153,4:03.02,Lidia Chojecka,POL,1977-01-25,3,Roma,2000-06-30,243.02,2000,2000,23.42778918548939
2153,4:03.02,Süreyya Ayhan-Kop,TUR,1978-09-06,5,Bruxelles,2000-08-25,243.02,2000,2000,21.968514715947983
2153,4:03.02,Nancy Jebet Langat,KEN,1981-08-22,1h3,Beijing,2008-08-21,243.02,2008,2000,26.99794661190965
2153,4:03.02,Hind Dehiba,FRA,1979-03-17,3r1,Rieti,2011-09-10,243.02,2011,2010,32.48459958932238
2153,4:03.02,Colleen Quigley,USA,1992-11-20,1,Chorzów,2018-08-22,243.02,2018,2010,25.752224503764545
2159,4:03.03,Alla Yushina,RUS,1958-08-20,7,Podolsk,1982-08-22,243.03,1982,1980,24.005475701574266
2159,4:03.03,Doina Melinte,ROU,1956-12-27,1,Göteborg,1987-06-28,243.03,1987,1980,30.49965776865161
2159,4:03.03,Svetlana Kitova,TJK,1960-06-25,2,Zagreb,1987-07-16,243.03,1987,1980,27.055441478439427
2159,4:03.03,Daniela Yordanova,BUL,1976-03-08,5,München,2002-08-11,243.03,2002,2000,26.425735797399042
2159,4:03.03,Joanne Pavey,GBR,1973-09-20,10,Saint-Denis,2003-08-31,243.03,2003,2000,29.94387405886379
2159,4:03.03,Sarah Jamieson,AUS,1975-03-24,2,Monaco,2008-07-29,243.03,2008,2000,33.34976043805612
2159,4:03.03,Ciara Mageean,IRL,1992-03-12,2h2,München,2022-08-16,243.03,2022,2020,30.428473648186174
2159,4:03.03,Sarah McDonald,GBR,1993-08-02,1rA,Stretford,2023-08-12,243.03,2023,2020,30.026009582477755
2167,4:03.04,Mitica Constantin,ROU,1962-08-18,3,Zagreb,1987-07-16,243.04,1987,1980,24.908966461327857
2167,4:03.04,Kelly Holmes,GBR,1970-04-19,2,Göteborg,1995-08-09,243.04,1995,1990,25.305954825462013
2167,4:03.04,Laura Weightman,GBR,1991-01-07,6,Eugene,2016-05-28,243.04,2016,2010,25.388090349075977
2167,4:03.04,Meraf Bahta,SWE,1989-06-24,5,Birmingham,2017-08-20,243.04,2017,2010,28.15605749486653
2167,4:03.04,Shannon Rowbury,USA,1984-09-19,6,Stockholm,2020-08-23,243.04,2020,2020,35.92607802874743
2167,4:03.04,Eliza Megger,POL,1999-08-29,10,Chorzów,2022-08-06,243.04,2022,2020,22.937713894592743
2167,4:03.04,Ludovica Cavalli,ITA,2000-12-20,11,Firenze,2023-06-02,243.04,2023,2020,22.4476386036961
2167,4:03.04,Gaia Sabbatini,ITA,1999-06-10,4h2,Budapest,2023-08-19,243.04,2023,2020,24.191649555099247
2175,4:03.05,Tatyana Leonova,MDA,1956-07-26,9r1,Kyiv,1982-07-27,243.05,1982,1980,26.001368925393567
2175,4:03.05,Olga Zhuravlyova,RUS,,11,Kyiv,1984-06-24,243.05,1984,1980,
2175,4:03.05,Svetlana Guskova,MDA,1959-08-19,1,Budapest,1984-08-20,243.05,1984,1980,25.00479123887748
2175,4:03.05,Kirsty Wade,GBR,1962-08-06,5,Oslo,1987-07-04,243.05,1987,1980,24.908966461327857
2175,4:03.05,Hind Dehiba,FRA,1979-03-17,2,Saint-Denis,2005-07-01,243.05,2005,2000,26.29158110882957
2175,4:03.05,Axumawit Embaye,ETH,1994-10-18,5,London,2016-07-22,243.05,2016,2010,21.760438056125942
2175,4:03.05,Marusa Mismas-Zrimsek,SLO,1994-11-24,3,Marseille,2020-09-03,243.05,2020,2020,25.776865160848732
2182,4:03.06,Natalia Rodríguez,ESP,1979-06-02,6,Helsinki,2005-08-14,243.06,2005,2000,26.20123203285421
2182,4:03.06,Iryna Lishchynska,UKR,1976-01-15,6,Monaco,2006-08-20,243.06,2006,2000,30.595482546201232
2182,4:03.06,Angelika Cichocka,POL,1988-03-15,9,Roma,2015-06-04,243.06,2015,2010,27.21971252566735
2182,4:03.06,Genzebe Dibaba,ETH,1991-02-08,1s2,Rio de Janeiro,2016-08-14,243.06,2016,2010,25.51403148528405
2182,4:03.06,Meraf Bahta,SWE,1989-06-24,8,Zürich,2016-09-01,243.06,2016,2010,27.189596167008897
2182,4:03.06,Laura Galván,MEX,1991-10-05,2rA,Stretford,2023-08-12,243.06,2023,2020,31.852156057494867
2182,4:03.06,Kate Current,CAN,1998-02-16,2,Poznan,2025-07-06,243.06,2025,2020,27.38398357289528
2189,4:03.07,Lyudmila Rogachova,RUS,1966-10-30,1,Kyiv,1990-07-07,243.07,1990,1990,23.685147159479808
2189,4:03.07,Lyudmila Rogachova,RUS,1966-10-30,1,Sevilla,1992-06-06,243.07,1992,1990,25.60164271047228
2189,4:03.07,Yelena Romanova,RUS,1963-03-20,3,Moskva,1992-06-11,243.07,1992,1990,29.229295003422312
2189,4:03.07,Elena Antoci,ROU,1975-01-16,2,Bucuresti,2002-06-08,243.07,2002,2000,27.392197125256672
2189,4:03.07,Carla Sacramento,POR,1971-12-10,5,Berlin,2002-09-06,243.07,2002,2000,30.740588637919235
2189,4:03.07,Abeba Aregawi,SWE,1990-07-05,4,Oslo,2015-06-11,243.07,2015,2010,24.933607118412045
2189,4:03.07,Laura Weightman,GBR,1991-01-07,4,Rabat,2017-07-16,243.07,2017,2010,26.521560574948666
2189,4:03.07,Karoline Bjerkeli Grøvdal,NOR,1990-06-14,5,Stockholm,2021-07-04,243.07,2021,2020,31.055441478439427
2189,4:03.07,Esther Guerrero,ESP,1990-02-07,6,Hengelo,2023-06-04,243.07,2023,2020,33.319644079397676
2198,4:03.08,Tatyana Pozdnyakova,UKR,1956-03-04,h,Kyiv,1984-06-22,243.08,1984,1980,28.301163586584533
2198,4:03.08,Lidiya Volodina,RUS,1953-05-21,h,Kyiv,1984-06-22,243.08,1984,1980,31.08829568788501
2198,4:03.08,Maria Radu,ROU,1959-05-25,3,Bucuresti,1984-07-12,243.08,1984,1980,25.13347022587269
2198,4:03.08,Sandra Gasser,SUI,1962-07-27,1,Zürich,1987-08-19,243.08,1987,1980,25.062286105407257
2198,4:03.08,Geraldine Hendricken,IRL,1970-04-19,6,Bruxelles,2002-08-30,243.08,2002,2000,32.36413415468857
2198,4:03.08,Sofia Ennaoui,POL,1995-08-30,2,Berlin,2018-08-12,243.08,2018,2010,22.951403148528406
2198,4:03.08,Winnie Nanyondo,UGA,1993-08-23,5,Zürich,2019-08-29,243.08,2019,2010,26.015058179329227
2198,4:03.08,Winny Chebet,KEN,1990-12-20,6s1,Eugene,2022-07-16,243.08,2022,2020,31.57015742642026
2198,4:03.08,Nelly Chepchirchir,KEN,2003-06-04,1,Montreuil,2023-05-31,243.08,2023,2020,19.98904859685147
2198,4:03.08,Nelly Chepchirchir,KEN,2003-06-04,1,Montreuil,2023-05-31,243.08,2023,2020,19.98904859685147
2198,4:03.08,Dominique Hiltz,USA,1994-10-23,2,Montreuil,2023-05-31,243.08,2023,2020,28.602327173169062
2198,4:03.08,Elise Cranny,USA,1996-05-09,13,Eugene,2024-05-25,243.08,2024,2020,28.043805612594113
2210,4:03.09,Natalya Boborova,RUS,1959-02-12,6,Kyiv,1986-07-17,243.09,1986,1980,27.42505133470226
2210,4:03.09,Ivana Kubesová,CZE,1962-05-26,4,Stuttgart,1986-08-31,243.09,1986,1980,24.265571526351813
2210,4:03.09,Wioletta Frankiewicz,POL,1977-06-09,1,Zürich,2004-08-06,243.09,2004,2000,27.159479808350444
2210,4:03.09,Gudaf Tsegay,ETH,1997-06-23,1,Kawasaki,2015-05-10,243.09,2015,2010,17.87816563997262
2210,4:03.09,Nancy Chepkwemoi,KEN,1993-10-08,1rA,Watford,2015-06-27,243.09,2015,2010,21.71663244353183
2210,4:03.09,Faith Kipyegon,KEN,1994-01-10,1h3,London,2017-08-04,243.09,2017,2010,23.564681724845997
2210,4:03.09,Beatrice Chepkoech,KEN,1991-07-06,2,Gold Coast,2018-04-10,243.09,2018,2010,26.76249144421629
2210,4:03.09,Cory Ann McGee,USA,1992-05-29,5,Rabat,2023-05-28,243.09,2023,2020,30.99520876112252
2210,4:03.09,Ciara Mageean,IRL,1992-03-12,11,Eugene,2023-09-16,243.09,2023,2020,31.512662559890487
2219,4:03.1,Gabriele Lehmann,GDR,1956-10-24,2,Erfurt,1978-05-28,243.1,1978,1970,21.590691307323752
2219,4:03.1,Valentina Ilyinykh,RUS,1956-12-12,2,Vilnius,1978-07-22,243.1,1978,1970,21.607118412046542
2219,4:03.1+,Hassiba Boulmerka,ALG,1968-07-10,1,Oslo,1991-07-06,243.1,1991,1990,22.986995208761122
2219,4:03.10,Lyubov Kremlyova,RUS,1961-12-21,3,Tula,2000-07-26,243.1,2000,2000,38.59548254620123
2219,4:03.10,Suzy Favor Hamilton,USA,1968-08-08,3,Roma,2001-06-29,243.1,2001,2000,32.889801505817935
2219,4:03.10,Yelena Zadorozhnaya,RUS,1977-12-03,4,Bruxelles,2004-09-03,243.1,2004,2000,26.751540041067763
2219,4:03.10,Carmen Douma-Hussar,CAN,1977-03-12,7,Monaco,2005-09-09,243.1,2005,2000,28.49555099247091
2219,4:03.10+,Anna Alminova,RUS,1985-01-17,1,Moskva,2007-06-29,243.1,2007,2000,22.444900752908968
2219,4:03.10,Besu Sado,ETH,1996-01-12,3,Shanghai,2017-05-13,243.1,2017,2010,21.333333333333332
2219,4:03.10,Dominique Hiltz,USA,1994-10-23,1,Eugene,2023-07-08,243.1,2023,2020,28.706365503080082
2229,4:03.11,Maria Cioncan,ROU,1977-06-19,1,Lausanne,2002-07-02,243.11,2002,2000,25.034907597535934
2229,4:03.11,Winny Chebet,KEN,1990-12-20,6,Zürich,2019-08-29,243.11,2019,2010,28.689938398357288
2229,4:03.11,Netsanet Desta,ETH,2000-10-26,2,Chorzów,2024-05-18,243.11,2024,2020,23.55920602327173
2229,4:03.11,Birke Haylom,ETH,2006-01-06,10s1,Saint-Denis,2024-08-08,243.11,2024,2020,18.587268993839835
2233,4:03.12,Gulbira Nurtdinova,RUS,,10r1,Kyiv,1982-07-27,243.12,1982,1980,
2233,4:03.12,Luiza Gega,ALB,1988-11-05,3,Beijing,2014-05-21,243.12,2014,2010,25.53867214236824
2233,4:03.12,Winny Chebet,KEN,1990-12-20,2h3,Eugene,2022-07-15,243.12,2022,2020,31.567419575633128
2236,4:03.13,Totka Petrova,BUL,1956-12-17,1,Torino,1979-08-05,243.13,1979,1970,22.63107460643395
2236,4:03.13,Natalia Marasescu,ROU,1952-10-03,1,Debrecen,1982-06-12,243.13,1982,1980,29.689253935660506
2236,4:03.13,Yvonne Murray,GBR,1964-10-04,3,Bruxelles,1989-08-25,243.13,1989,1980,24.889801505817932
2236,4:03.13,Sarah Jamieson,AUS,1975-03-24,4,Eugene,2006-05-28,243.13,2006,2000,31.17864476386037
2236,4:03.13,Mimi Belete,BRN,1988-06-09,9,Bruxelles,2011-09-16,243.13,2011,2010,23.26899383983573
2236,4:03.13,Eunice Sum,KEN,1988-04-10,7,Eugene,2013-06-01,243.13,2013,2010,25.141683778234086
2236,4:03.13,Esther Guerrero,ESP,1990-02-07,7,Stockholm,2020-08-23,243.13,2020,2020,30.54072553045859
2236,4:03.13,Ayal Dagnachew,ETH,2002-01-18,9,Bruxelles,2022-09-02,243.13,2022,2020,20.621492128678987
2236,4:03.13,Adele Gay,FRA,2004-10-16,14,Paris,2026-06-28,243.13,2026,2020,21.697467488021903
2245,4:03.14,Vanya Stoyanova,BUL,1958-12-12,1h,Sochi,1984-06-09,243.14,1984,1980,25.492128678986994
2245,4:03.14,Violeta Szekely,ROU,1965-03-26,1,Bucuresti,1990-06-10,243.14,1990,1990,25.207392197125255
2245,4:03.14,Getenesh Wami,ETH,1974-12-11,1,Hengelo,1999-05-30,243.14,1999,1990,24.465434633812457
2245,4:03.14,Anna Mishchenko,UKR,1983-08-25,6,Rieti,2010-08-29,243.14,2010,2010,27.01163586584531
2245,4:03.14,Melissa Courtney-Bryant,GBR,1993-08-30,5h2,Budapest,2023-08-19,243.14,2023,2020,29.968514715947983
2250,4:03.15,Mary Slaney,USA,1958-08-04,3,Roma,1980-08-05,243.15,1980,1980,22.0041067761807
2250,4:03.15,Yvonne Graham,GER,1965-08-22,1,Rostock,1988-06-22,243.15,1988,1980,22.833675564681723
2250,4:03.15,Svetlana Kitova,TJK,1960-06-25,2,Edinburgh,1989-07-07,243.15,1989,1980,29.032169746748803
2250,4:03.15,Theresia Kiesl,AUT,1963-10-26,4,Nice,1996-07-10,243.15,1996,1990,32.70636550308008
2250,4:03.15,Maria Cioncan,ROU,1977-06-19,7,Roma,2002-07-12,243.15,2002,2000,25.062286105407257
2250,4:03.15,Helen Obiri,KEN,1989-12-13,4,Shanghai,2012-05-19,243.15,2012,2010,22.431211498973305
2250,4:03.15,Yuliya Chizhenko,RUS,1979-08-30,1,Yerino,2012-07-14,243.15,2012,2010,32.87337440109514
2250,4:03.15,Shannon Rowbury,USA,1984-09-19,4rA,Stockholm,2012-08-17,243.15,2012,2010,27.90965092402464
2250,4:03.15,Brenda Martinez,USA,1987-09-08,1r1,Portland,2017-06-11,243.15,2017,2010,29.75770020533881
2250,4:03.15,Weronika Lizakowska,POL,1998-11-02,8,Bydgoszcz,2024-06-20,243.15,2024,2020,25.631759069130734
2250,4:03.15,Esther Guerrero,ESP,1990-02-07,31,Saint-Denis,2024-08-07,243.15,2024,2020,34.496919917864474
2250,4:03.15,Dominique Hiltz,USA,1994-10-23,1h1,Eugene,2025-07-31,243.15,2025,2020,30.770704996577688
2250,4:03.15,Dominique Hiltz,USA,1994-10-23,1,Eugene,2025-08-02,243.15,2025,2020,30.77618069815195
2263,4:03.16,Alla Yushina,RUS,1958-08-20,2,Budapest,1984-08-20,243.16,1984,1980,26.001368925393567
2263,4:03.16,Christina Cahill,GBR,1957-03-25,1,London,1985-08-26,243.16,1985,1980,28.421629021218344
2263,4:03.16,Liu Li,CHN,1971-03-12,2,Nanjing,1992-05-18,243.16,1992,1990,21.1854893908282
2263,4:03.16,Olga Yegorova,RUS,1972-03-28,9,Bruxelles,2003-09-05,243.16,2003,2000,31.43874058863792
2263,4:03.16,Mimi Belete,BRN,1988-06-09,4,Barcelona,2011-07-22,243.16,2011,2010,23.11567419575633
2263,4:03.16,Meraf Bahta,SWE,1989-06-24,3,Hengelo,2014-06-08,243.16,2014,2010,24.955509924709105
2263,4:03.16,Besu Sado,ETH,1996-01-12,7,Roma,2017-06-08,243.16,2017,2010,21.404517453798768
2270,4:03.17,Alison Wyeth,GBR,1964-05-26,5,Monaco,1993-08-07,243.17,1993,1990,29.19917864476386
2270,4:03.17,Sarah McDonald,GBR,1993-08-02,5,Birmingham,2018-08-18,243.17,2018,2010,25.04312114989733
2272,4:03.18,Natalya Artyomova,RUS,1963-01-05,h,Sochi,1984-06-09,243.18,1984,1980,21.426420260095824
2272,4:03.18,Angela Chalmers,CAN,1963-09-06,4,Bruxelles,1989-08-25,243.18,1989,1980,25.968514715947983
2272,4:03.18,Gabriela Szabo,ROU,1975-11-14,1,Paris,1996-06-28,243.18,1996,1990,20.621492128678987
2272,4:03.18,Gabriela Szabo,ROU,1975-11-14,3,Oslo,1998-07-09,243.18,1998,1990,22.650239561943874
2272,4:03.18,Olga Kuznetsova,RUS,1967-10-23,10,Oslo,2000-07-28,243.18,2000,2000,32.76386036960986
2272,4:03.18,Carla Sacramento,POR,1971-12-10,7,Monaco,2002-07-19,243.18,2002,2000,30.60643394934976
2272,4:03.18,Geraldine Hendricken,IRL,1970-04-19,8,Monaco,2002-07-19,243.18,2002,2000,32.24914442162902
2272,4:03.18,Mary Kuria,KEN,1987-11-29,1,Rovereto,2012-09-04,243.18,2012,2010,24.76659822039699
2272,4:03.18,Angelika Cichocka,POL,1988-03-15,6,Birmingham,2017-08-20,243.18,2017,2010,29.43189596167009
2272,4:03.18,Shelby Houlihan,USA,1993-02-08,1,Des Moines,2019-07-27,243.18,2019,2010,26.46132785763176
2282,4:03.19,Doina Melinte,ROU,1956-12-27,4,Tokyo,1991-08-31,243.19,1991,1990,34.67488021902806
2282,4:03.19,Svetlana Masterkova,RUS,1968-01-17,1,Berlin,1998-09-01,243.19,1998,1990,30.622861054072555
2282,4:03.19,Irina Krakoviak,LTU,1977-11-16,5,Athínai,2005-06-14,243.19,2005,2000,27.575633127994525
2282,4:03.19,Natalya Tobias,UKR,1980-11-22,2h3,Beijing,2008-08-21,243.19,2008,2000,27.745379876796715
2282,4:03.19,Natalia Rodríguez,ESP,1979-06-02,6,Beijing,2008-08-23,243.19,2008,2000,29.22655715263518
2282,4:03.19,Winny Chebet,KEN,1990-12-20,3h1,London,2017-08-04,243.19,2017,2010,26.622861054072555
2288,4:03.2,Giana Romanova,RUS,1955-03-10,8,Moskva,1980-07-06,243.2,1980,1980,25.32511978097194
2288,4:03.2,Ulrike Bruns,GDR,1953-11-17,2,Tbilisi,1981-06-26,243.2,1981,1980,27.60574948665298
2288,4:03.2,Irina Lebedinskaya,RUS,1961-06-16,2,Ryazan,1984-08-12,243.2,1984,1980,23.156741957563312
2288,4:03.2+,Doina Melinte,ROU,1956-12-27,2,Oslo,1991-07-06,243.2,1991,1990,34.521560574948666
2288,4:03.2,Natalya Pantelyeva,RUS,1983-08-18,3,Athínai,2007-07-02,243.2,2007,2000,23.871321013004792
2288,4:03.2A,Beatrice Chepkoech,KEN,1991-07-06,1,Nairobi,2017-06-10,243.2,2017,2010,25.930184804928132
2288,4:03.20,Raisa Smekhnova,BLR,1950-09-16,6s1,Montréal,1976-07-29,243.2,1976,1970,25.867214236824093
2288,4:03.20,Kirsty Wade,GBR,1962-08-06,2,London,1985-08-26,243.2,1985,1980,23.055441478439427
2288,4:03.20,Lyubov Kremlyova,RUS,1961-12-21,2,Moskva,1990-06-10,243.2,1990,1990,28.468172484599588
2288,4:03.20,Jacinta Muraguri,KEN,1970-05-28,5,Monaco,2001-07-20,243.2,2001,2000,31.145790554414784
2288,4:03.20,Yelena Zadorozhnaya,RUS,1977-12-03,2,Lausanne,2002-07-02,243.2,2002,2000,24.577686516084874
2288,4:03.20,Sarah Brown,USA,1986-10-15,6,Eugene,2015-05-30,243.2,2015,2010,28.621492128678987
2288,4:03.20,Gabriela DeBues-Stafford,CAN,1995-09-13,1r2,San Juan Capistrano,2022-05-06,243.2,2022,2020,26.64476386036961
2301,4:03.21,Nadezhda Ralldugina,RUS,1957-11-15,2,Verona,1984-06-01,243.21,1984,1980,26.543463381245722
2301,4:03.21,Gudaf Tsegay,ETH,1997-06-23,4,Hengelo,2014-06-08,243.21,2014,2010,16.958247775496236
2301,4:03.21,Linden Hall,AUS,1991-06-20,3h3,Eugene,2022-07-15,243.21,2022,2020,31.069130732375086
2301,4:03.21,Sinclaire Johnson,USA,1998-04-13,12,Eugene,2023-09-16,243.21,2023,2020,25.426420260095824
